added_at,id,name,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
2019-03-22T14:00:59Z,5itOtNx0WxtJmi1TQ3RuRd,Giant (with Rag'n'Bone Man),Calvin Harris,0.016,0.807,229184,0.887,0.000503,1,0.0811,-4.311,0,0.0361,122.015,0.606
2019-03-08T07:49:50Z,1Rn0B4zeGbcttEct0N1XpP,Hej Hej!,Daria Zawiałow,0.0113,0.641,225880,0.663,0.000268,7,0.126,-5.953,0,0.0354,137.968,0.571
2019-03-01T23:04:58Z,5GjGs4VemQDxf9ezVFhT19,Fateme Cantà,Ultimo,0.6,0.543,251141,0.417,0,5,0.0904,-8.527,1,0.0354,136.208,0.195
2019-02-15T09:30:44Z,2XWjPtKdi5sucFYtVav07d,365,Zedd,0.339,0.745,181900,0.693,0,2,0.123,-5.479,0,0.034,98.039,0.248
2019-02-14T12:35:48Z,4mGdjNMo0RonTlOEb7cYg4,11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD,0.0116,0.464,239507,0.852,0,11,0.108,-3.804,1,0.067,160.075,0.233
2019-02-10T16:34:29Z,1OvoC77TS6iKJecRCaq0hN,La ragazza con il cuore di latta,Irama,0.279,0.612,222101,0.687,0,0,0.209,-7.093,1,0.182,99.939,0.305
2019-02-10T00:34:47Z,31WtgRazL0iXCyy4AQ6qMt,L'ultimo ostacolo,Paola Turci,0.00786,0.554,206766,0.654,0,11,0.141,-4.946,1,0.0294,87.974,0.286
2019-02-10T00:34:16Z,2dxky69jKzbtUfA3Hl8Nuo,Soldi,Mahmood,0.0404,0.69,195476,0.581,0,3,0.111,-9.832,0,0.0466,94.904,0.372
2019-02-09T18:06:22Z,2Ig3npEMsgVAN2NtRuSyh5,Argentovivo (feat. Rancore & Manuel Agnelli),Daniele Silvestri,0.223,0.408,256570,0.939,0,8,0.147,-5.762,1,0.151,172.141,0.761
2019-02-09T00:35:37Z,4hWQaCHO3k3bTYi8AozKTE,Grande amore,Il Volo,0.0586,0.466,224947,0.617,9.2e-05,1,0.147,-5.853,1,0.029,142.121,0.177
2019-02-09T00:29:16Z,4bC3PgzOLeqOfluhN3nMpf,Musica che resta,Il Volo,0.13,0.329,196601,0.796,0,2,0.156,-3.429,0,0.0538,143.988,0.381
2019-02-08T23:20:28Z,6vOwecYEnP0CWPONFQHrhu,Parole nuove,Einar,0.0243,0.534,198787,0.715,0,11,0.168,-6.466,1,0.0369,101.0,0.545
2019-02-08T22:25:22Z,6RWZRCGxKAT5IFe2IFAB9S,Coldest Water,Walking On Cars,0.0926,0.525,211947,0.781,0,11,0.279,-4.092,0,0.0393,101.963,0.469
2019-02-08T18:15:28Z,47DKI4RxI8ZW0sBqDenMhO,Woman,Mumford & Sons,0.662,0.592,274553,0.555,0.452,1,0.111,-10.499,0,0.0381,156.957,0.142
2019-02-08T11:01:29Z,4kV4N9D1iKVxx1KLvtTpjS,"break up with your girlfriend, i'm bored",Ariana Grande,0.0421,0.726,190440,0.554,0,5,0.106,-5.29,0,0.0917,169.999,0.335
2019-02-08T00:09:49Z,524euygKKFWurhvIdSrkg6,I Tuoi Particolari,Ultimo,0.632,0.659,219939,0.588,0,0,0.124,-5.682,1,0.063,135.884,0.297
